Year,Province,"Income, consumption and savings",UOM, VALUE 
2020,Manitoba,Less: property income paid,Dollars,3191
2010,Manitoba,Current transfers received,Dollars,16530
2011,Manitoba,Current transfers received,Dollars,16275
2012,Manitoba,Current transfers received,Dollars,17072
2013,Manitoba,Current transfers received,Dollars,18008
2014,Manitoba,Current transfers received,Dollars,18300
2015,Manitoba,Current transfers received,Dollars,19844
2016,Manitoba,Current transfers received,Dollars,21120
2017,Manitoba,Current transfers received,Dollars,21822
2018,Manitoba,Current transfers received,Dollars,22302
2019,Manitoba,Current transfers received,Dollars,23226
2020,Manitoba,Current transfers received,Dollars,29953
2010,Manitoba,Less: current transfers paid,Dollars,27710
2011,Manitoba,Less: current transfers paid,Dollars,27282
2012,Manitoba,Less: current transfers paid,Dollars,28644
2013,Manitoba,Less: current transfers paid,Dollars,29692
2014,Manitoba,Less: current transfers paid,Dollars,30704
2015,Manitoba,Less: current transfers paid,Dollars,32340
2016,Manitoba,Less: current transfers paid,Dollars,32847
2017,Manitoba,Less: current transfers paid,Dollars,33416
2018,Manitoba,Less: current transfers paid,Dollars,34461
2019,Manitoba,Less: current transfers paid,Dollars,34877
2020,Manitoba,Less: current transfers paid,Dollars,34001
2010,Manitoba,Social transfers in kind (STiK): education,Dollars,6596
2011,Manitoba,Social transfers in kind (STiK): education,Dollars,6766
2012,Manitoba,Social transfers in kind (STiK): education,Dollars,7034
2013,Manitoba,Social transfers in kind (STiK): education,Dollars,7267
2014,Manitoba,Social transfers in kind (STiK): education,Dollars,7327
2015,Manitoba,Social transfers in kind (STiK): education,Dollars,7383
2016,Manitoba,Social transfers in kind (STiK): education,Dollars,7487
2017,Manitoba,Social transfers in kind (STiK): education,Dollars,7828
2018,Manitoba,Social transfers in kind (STiK): education,Dollars,7796
2019,Manitoba,Social transfers in kind (STiK): education,Dollars,8212
2020,Manitoba,Social transfers in kind (STiK): education,Dollars,8424
2010,Manitoba,Social transfers in kind (STiK): health,Dollars,10997
2011,Manitoba,Social transfers in kind (STiK): health,Dollars,11285
2012,Manitoba,Social transfers in kind (STiK): health,Dollars,11703
2013,Manitoba,Social transfers in kind (STiK): health,Dollars,12422
2014,Manitoba,Social transfers in kind (STiK): health,Dollars,12637
2015,Manitoba,Social transfers in kind (STiK): health,Dollars,13092
2016,Manitoba,Social transfers in kind (STiK): health,Dollars,13566
2017,Manitoba,Social transfers in kind (STiK): health,Dollars,13764
2018,Manitoba,Social transfers in kind (STiK): health,Dollars,13986
2019,Manitoba,Social transfers in kind (STiK): health,Dollars,14489
2020,Manitoba,Social transfers in kind (STiK): health,Dollars,14922
2010,Manitoba,Social transfers in kind (STiK): other,Dollars,4265
2011,Manitoba,Social transfers in kind (STiK): other,Dollars,4559
2012,Manitoba,Social transfers in kind (STiK): other,Dollars,4638
2013,Manitoba,Social transfers in kind (STiK): other,Dollars,4678
2014,Manitoba,Social transfers in kind (STiK): other,Dollars,4730
2015,Manitoba,Social transfers in kind (STiK): other,Dollars,4947
2016,Manitoba,Social transfers in kind (STiK): other,Dollars,5171
2017,Manitoba,Social transfers in kind (STiK): other,Dollars,5358
2018,Manitoba,Social transfers in kind (STiK): other,Dollars,5418
2019,Manitoba,Social transfers in kind (STiK): other,Dollars,5555
2020,Manitoba,Social transfers in kind (STiK): other,Dollars,5456
2010,Manitoba,Food and non-alcoholic beverages,Dollars,6442
2011,Manitoba,Food and non-alcoholic beverages,Dollars,6342
2012,Manitoba,Food and non-alcoholic beverages,Dollars,6262
2013,Manitoba,Food and non-alcoholic beverages,Dollars,6368
2014,Manitoba,Food and non-alcoholic beverages,Dollars,6618
2015,Manitoba,Food and non-alcoholic beverages,Dollars,6659
2016,Manitoba,Food and non-alcoholic beverages,Dollars,6658
2017,Manitoba,Food and non-alcoholic beverages,Dollars,6916
2018,Manitoba,Food and non-alcoholic beverages,Dollars,6816
2019,Manitoba,Food and non-alcoholic beverages,Dollars,6968
2020,Manitoba,Food and non-alcoholic beverages,Dollars,7524
2010,Manitoba,Alcoholic beverages and tobacco,Dollars,3117
2011,Manitoba,Alcoholic beverages and tobacco,Dollars,3069
2012,Manitoba,Alcoholic beverages and tobacco,Dollars,3173
2013,Manitoba,Alcoholic beverages and tobacco,Dollars,3374
2014,Manitoba,Alcoholic beverages and tobacco,Dollars,3420
2015,Manitoba,Alcoholic beverages and tobacco,Dollars,3476
2016,Manitoba,Alcoholic beverages and tobacco,Dollars,3483
2017,Manitoba,Alcoholic beverages and tobacco,Dollars,3548
2018,Manitoba,Alcoholic beverages and tobacco,Dollars,3626
2019,Manitoba,Alcoholic beverages and tobacco,Dollars,3574
2020,Manitoba,Alcoholic beverages and tobacco,Dollars,3648
2010,Manitoba,Clothing and footwear,Dollars,2693
2011,Manitoba,Clothing and footwear,Dollars,2651
2012,Manitoba,Clothing and footwear,Dollars,2700
2013,Manitoba,Clothing and footwear,Dollars,2780
2014,Manitoba,Clothing and footwear,Dollars,2886
2015,Manitoba,Clothing and footwear,Dollars,2991
2016,Manitoba,Clothing and footwear,Dollars,2920
2017,Manitoba,Clothing and footwear,Dollars,2975
2018,Manitoba,Clothing and footwear,Dollars,3670
2019,Manitoba,Clothing and footwear,Dollars,3683
2020,Manitoba,Clothing and footwear,Dollars,2883
2010,Manitoba,"Housing, water, electricity, gas and other fuels",Dollars,15374
2011,Manitoba,"Housing, water, electricity, gas and other fuels",Dollars,15137
2012,Manitoba,"Housing, water, electricity, gas and other fuels",Dollars,15722
2013,Manitoba,"Housing, water, electricity, gas and other fuels",Dollars,16582
2014,Manitoba,"Housing, water, electricity, gas and other fuels",Dollars,17361
2015,Manitoba,"Housing, water, electricity, gas and other fuels",Dollars,17863
2016,Manitoba,"Housing, water, electricity, gas and other fuels",Dollars,18344
2017,Manitoba,"Housing, water, electricity, gas and other fuels",Dollars,19461
2018,Manitoba,"Housing, water, electricity, gas and other fuels",Dollars,17883
2019,Manitoba,"Housing, water, electricity, gas and other fuels",Dollars,18489
2020,Manitoba,"Housing, water, electricity, gas and other fuels",Dollars,18886
2010,Manitoba,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3776
2011,Manitoba,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3717
2012,Manitoba,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3824
2013,Manitoba,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4012
2014,Manitoba,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4160
2015,Manitoba,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4277
2016,Manitoba,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4311
2017,Manitoba,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4388
2018,Manitoba,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4992
2019,Manitoba,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,5094
2020,Manitoba,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,5369
2010,Manitoba,Health,Dollars,2727
2011,Manitoba,Health,Dollars,2685
2012,Manitoba,Health,Dollars,2714
2013,Manitoba,Health,Dollars,2754
2014,Manitoba,Health,Dollars,2877
2015,Manitoba,Health,Dollars,3031
2016,Manitoba,Health,Dollars,3153
2017,Manitoba,Health,Dollars,3282
2018,Manitoba,Health,Dollars,3110
2019,Manitoba,Health,Dollars,3150
2020,Manitoba,Health,Dollars,2828
2010,Manitoba,Transport,Dollars,10324
2011,Manitoba,Transport,Dollars,10164
2012,Manitoba,Transport,Dollars,10531
2013,Manitoba,Transport,Dollars,11191
2014,Manitoba,Transport,Dollars,11642
2015,Manitoba,Transport,Dollars,11214
2016,Manitoba,Transport,Dollars,11116
2017,Manitoba,Transport,Dollars,11565
2018,Manitoba,Transport,Dollars,12511
2019,Manitoba,Transport,Dollars,12384
2020,Manitoba,Transport,Dollars,9654
2010,Manitoba,Communications,Dollars,1713
2011,Manitoba,Communications,Dollars,1686
2012,Manitoba,Communications,Dollars,1742
2013,Manitoba,Communications,Dollars,1872
2014,Manitoba,Communications,Dollars,1959
2015,Manitoba,Communications,Dollars,1993
2016,Manitoba,Communications,Dollars,2028
2017,Manitoba,Communications,Dollars,2221
2018,Manitoba,Communications,Dollars,2079
2019,Manitoba,Communications,Dollars,2115
2020,Manitoba,Communications,Dollars,2063
2010,Manitoba,Recreation and culture,Dollars,6985
2011,Manitoba,Recreation and culture,Dollars,6877
2012,Manitoba,Recreation and culture,Dollars,6926
2013,Manitoba,Recreation and culture,Dollars,6959
2014,Manitoba,Recreation and culture,Dollars,7112
2015,Manitoba,Recreation and culture,Dollars,7248
2016,Manitoba,Recreation and culture,Dollars,7283
2017,Manitoba,Recreation and culture,Dollars,7395
2018,Manitoba,Recreation and culture,Dollars,8164
2019,Manitoba,Recreation and culture,Dollars,8134
2020,Manitoba,Recreation and culture,Dollars,7514
2010,Manitoba,Education,Dollars,765
2011,Manitoba,Education,Dollars,754
2012,Manitoba,Education,Dollars,780
2013,Manitoba,Education,Dollars,817
2014,Manitoba,Education,Dollars,823
2015,Manitoba,Education,Dollars,861
2016,Manitoba,Education,Dollars,846
2017,Manitoba,Education,Dollars,923
2018,Manitoba,Education,Dollars,787
2019,Manitoba,Education,Dollars,812
2020,Manitoba,Education,Dollars,765
2010,Manitoba,"Food, beverage and accommodation services",Dollars,4675
2011,Manitoba,"Food, beverage and accommodation services",Dollars,4603
2012,Manitoba,"Food, beverage and accommodation services",Dollars,4835
2013,Manitoba,"Food, beverage and accommodation services",Dollars,5042
2014,Manitoba,"Food, beverage and accommodation services",Dollars,5215
2015,Manitoba,"Food, beverage and accommodation services",Dollars,5300
2016,Manitoba,"Food, beverage and accommodation services",Dollars,5330
2017,Manitoba,"Food, beverage and accommodation services",Dollars,4704
2018,Manitoba,"Food, beverage and accommodation services",Dollars,5726
2019,Manitoba,"Food, beverage and accommodation services",Dollars,5828
2020,Manitoba,"Food, beverage and accommodation services",Dollars,3911
2010,Manitoba,Insurance and financial services,Dollars,5156
2011,Manitoba,Insurance and financial services,Dollars,5076
2012,Manitoba,Insurance and financial services,Dollars,5134
2013,Manitoba,Insurance and financial services,Dollars,5431
2014,Manitoba,Insurance and financial services,Dollars,5728
2015,Manitoba,Insurance and financial services,Dollars,5924
2016,Manitoba,Insurance and financial services,Dollars,6048
2017,Manitoba,Insurance and financial services,Dollars,6444
2018,Manitoba,Insurance and financial services,Dollars,5895
2019,Manitoba,Insurance and financial services,Dollars,5982
2020,Manitoba,Insurance and financial services,Dollars,6011
2010,Manitoba,Miscellaneous goods and services,Dollars,3542
2011,Manitoba,Miscellaneous goods and services,Dollars,3488
2012,Manitoba,Miscellaneous goods and services,Dollars,3581
2013,Manitoba,Miscellaneous goods and services,Dollars,3636
2014,Manitoba,Miscellaneous goods and services,Dollars,3702
2015,Manitoba,Miscellaneous goods and services,Dollars,3792
2016,Manitoba,Miscellaneous goods and services,Dollars,3861
2017,Manitoba,Miscellaneous goods and services,Dollars,4032
2018,Manitoba,Miscellaneous goods and services,Dollars,4055
2019,Manitoba,Miscellaneous goods and services,Dollars,4155
2020,Manitoba,Miscellaneous goods and services,Dollars,3818
2010,Manitoba,Social transfers in kind (STiK): education,Dollars,6596
2011,Manitoba,Social transfers in kind (STiK): education,Dollars,6766
2012,Manitoba,Social transfers in kind (STiK): education,Dollars,7034
2013,Manitoba,Social transfers in kind (STiK): education,Dollars,7267
2014,Manitoba,Social transfers in kind (STiK): education,Dollars,7327
2015,Manitoba,Social transfers in kind (STiK): education,Dollars,7383
2016,Manitoba,Social transfers in kind (STiK): education,Dollars,7487
2017,Manitoba,Social transfers in kind (STiK): education,Dollars,7828
2018,Manitoba,Social transfers in kind (STiK): education,Dollars,7796
2019,Manitoba,Social transfers in kind (STiK): education,Dollars,8212
2020,Manitoba,Social transfers in kind (STiK): education,Dollars,8424
2010,Manitoba,Social transfers in kind (STiK): health,Dollars,10997
2011,Manitoba,Social transfers in kind (STiK): health,Dollars,11285
2012,Manitoba,Social transfers in kind (STiK): health,Dollars,11703
2013,Manitoba,Social transfers in kind (STiK): health,Dollars,12422
2014,Manitoba,Social transfers in kind (STiK): health,Dollars,12637
2015,Manitoba,Social transfers in kind (STiK): health,Dollars,13092
2016,Manitoba,Social transfers in kind (STiK): health,Dollars,13566
2017,Manitoba,Social transfers in kind (STiK): health,Dollars,13764
2018,Manitoba,Social transfers in kind (STiK): health,Dollars,13986
2019,Manitoba,Social transfers in kind (STiK): health,Dollars,14489
2020,Manitoba,Social transfers in kind (STiK): health,Dollars,14922
2010,Manitoba,Social transfers in kind (STiK): other,Dollars,4265
2011,Manitoba,Social transfers in kind (STiK): other,Dollars,4559
2012,Manitoba,Social transfers in kind (STiK): other,Dollars,4638
2013,Manitoba,Social transfers in kind (STiK): other,Dollars,4678
2014,Manitoba,Social transfers in kind (STiK): other,Dollars,4730
2015,Manitoba,Social transfers in kind (STiK): other,Dollars,4947
2016,Manitoba,Social transfers in kind (STiK): other,Dollars,5171
2017,Manitoba,Social transfers in kind (STiK): other,Dollars,5358
2018,Manitoba,Social transfers in kind (STiK): other,Dollars,5418
2019,Manitoba,Social transfers in kind (STiK): other,Dollars,5555
2020,Manitoba,Social transfers in kind (STiK): other,Dollars,5456
2010,Saskatchewan,Household disposable income,Dollars," $73,482 "
2011,Saskatchewan,Household disposable income,Dollars," $72,010 "
2012,Saskatchewan,Household disposable income,Dollars," $74,993 "
2013,Saskatchewan,Household disposable income,Dollars," $79,495 "
2014,Saskatchewan,Household disposable income,Dollars," $79,558 "
2015,Saskatchewan,Household disposable income,Dollars," $83,814 "
2016,Saskatchewan,Household disposable income,Dollars," $81,550 "
2017,Saskatchewan,Household disposable income,Dollars," $83,538 "
2018,Saskatchewan,Household disposable income,Dollars," $82,122 "
2019,Saskatchewan,Household disposable income,Dollars," $82,510 "
2020,Saskatchewan,Household disposable income,Dollars," $89,602 "
2010,Saskatchewan,Compensation of employees,Dollars,62689
2011,Saskatchewan,Compensation of employees,Dollars,61433
2012,Saskatchewan,Compensation of employees,Dollars,64805
2013,Saskatchewan,Compensation of employees,Dollars,67427
2014,Saskatchewan,Compensation of employees,Dollars,69485
2015,Saskatchewan,Compensation of employees,Dollars,70522
2016,Saskatchewan,Compensation of employees,Dollars,67515
2017,Saskatchewan,Compensation of employees,Dollars,68164
2018,Saskatchewan,Compensation of employees,Dollars,68266
2019,Saskatchewan,Compensation of employees,Dollars,68428
2020,Saskatchewan,Compensation of employees,Dollars,66283
2010,Saskatchewan,Net mixed income,Dollars,14996
2011,Saskatchewan,Net mixed income,Dollars,14696
2012,Saskatchewan,Net mixed income,Dollars,14972
2013,Saskatchewan,Net mixed income,Dollars,17047
2014,Saskatchewan,Net mixed income,Dollars,15097
2015,Saskatchewan,Net mixed income,Dollars,17556
2016,Saskatchewan,Net mixed income,Dollars,17530
2017,Saskatchewan,Net mixed income,Dollars,16961
2018,Saskatchewan,Net mixed income,Dollars,16133
2019,Saskatchewan,Net mixed income,Dollars,15993
2020,Saskatchewan,Net mixed income,Dollars,17029
2010,Saskatchewan,Property income received,Dollars,11548
2011,Saskatchewan,Property income received,Dollars,11316
2012,Saskatchewan,Property income received,Dollars,12188
2013,Saskatchewan,Property income received,Dollars,12558
2014,Saskatchewan,Property income received,Dollars,13236
2015,Saskatchewan,Property income received,Dollars,13991
2016,Saskatchewan,Property income received,Dollars,12930
2017,Saskatchewan,Property income received,Dollars,13746
2018,Saskatchewan,Property income received,Dollars,13326
2019,Saskatchewan,Property income received,Dollars,13389
2020,Saskatchewan,Property income received,Dollars,12935
2010,Saskatchewan,Less: property income paid,Dollars,3432
2011,Saskatchewan,Less: property income paid,Dollars,3363
2012,Saskatchewan,Less: property income paid,Dollars,3498
2013,Saskatchewan,Less: property income paid,Dollars,3551
2014,Saskatchewan,Less: property income paid,Dollars,3606
2015,Saskatchewan,Less: property income paid,Dollars,3566
2016,Saskatchewan,Less: property income paid,Dollars,3536
2017,Saskatchewan,Less: property income paid,Dollars,3600
2018,Saskatchewan,Less: property income paid,Dollars,4025
2019,Saskatchewan,Less: property income paid,Dollars,4349
2020,Saskatchewan,Less: property income paid,Dollars,3753
2010,Saskatchewan,Current transfers received,Dollars,18281
2011,Saskatchewan,Current transfers received,Dollars,17915
2012,Saskatchewan,Current transfers received,Dollars,18867
2013,Saskatchewan,Current transfers received,Dollars,19754
2014,Saskatchewan,Current transfers received,Dollars,19975
2015,Saskatchewan,Current transfers received,Dollars,21628
2016,Saskatchewan,Current transfers received,Dollars,22841
2017,Saskatchewan,Current transfers received,Dollars,23510
2018,Saskatchewan,Current transfers received,Dollars,24150
2019,Saskatchewan,Current transfers received,Dollars,25305
2020,Saskatchewan,Current transfers received,Dollars,33125
2010,Saskatchewan,Less: current transfers paid,Dollars,30599
2011,Saskatchewan,Less: current transfers paid,Dollars,29986
2012,Saskatchewan,Less: current transfers paid,Dollars,32341
2013,Saskatchewan,Less: current transfers paid,Dollars,33740
2014,Saskatchewan,Less: current transfers paid,Dollars,34628
2015,Saskatchewan,Less: current transfers paid,Dollars,36316
2016,Saskatchewan,Less: current transfers paid,Dollars,35729
2017,Saskatchewan,Less: current transfers paid,Dollars,35244
2018,Saskatchewan,Less: current transfers paid,Dollars,35729
2019,Saskatchewan,Less: current transfers paid,Dollars,36256
2020,Saskatchewan,Less: current transfers paid,Dollars,36017
2010,Saskatchewan,Social transfers in kind (STiK): education,Dollars,7862
2011,Saskatchewan,Social transfers in kind (STiK): education,Dollars,8332
2012,Saskatchewan,Social transfers in kind (STiK): education,Dollars,8467
2013,Saskatchewan,Social transfers in kind (STiK): education,Dollars,8609
2014,Saskatchewan,Social transfers in kind (STiK): education,Dollars,8768
2015,Saskatchewan,Social transfers in kind (STiK): education,Dollars,9168
2016,Saskatchewan,Social transfers in kind (STiK): education,Dollars,9209
2017,Saskatchewan,Social transfers in kind (STiK): education,Dollars,9401
2018,Saskatchewan,Social transfers in kind (STiK): education,Dollars,9278
2019,Saskatchewan,Social transfers in kind (STiK): education,Dollars,9443
2020,Saskatchewan,Social transfers in kind (STiK): education,Dollars,9824
2010,Saskatchewan,Social transfers in kind (STiK): health,Dollars,10455
2011,Saskatchewan,Social transfers in kind (STiK): health,Dollars,10960
2012,Saskatchewan,Social transfers in kind (STiK): health,Dollars,10786
2013,Saskatchewan,Social transfers in kind (STiK): health,Dollars,10878
2014,Saskatchewan,Social transfers in kind (STiK): health,Dollars,11152
2015,Saskatchewan,Social transfers in kind (STiK): health,Dollars,11955
2016,Saskatchewan,Social transfers in kind (STiK): health,Dollars,12052
2017,Saskatchewan,Social transfers in kind (STiK): health,Dollars,12033
2018,Saskatchewan,Social transfers in kind (STiK): health,Dollars,11995
2019,Saskatchewan,Social transfers in kind (STiK): health,Dollars,12089
2020,Saskatchewan,Social transfers in kind (STiK): health,Dollars,12537
2010,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3354
2011,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3417
2012,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3394
2013,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3488
2014,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3463
2015,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3722
2016,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3853
2017,Saskatchewan,Social transfers in kind (STiK): other,Dollars,3964
2018,Saskatchewan,Social transfers in kind (STiK): other,Dollars,4088
2019,Saskatchewan,Social transfers in kind (STiK): other,Dollars,4290
2020,Saskatchewan,Social transfers in kind (STiK): other,Dollars,4255
2010,Saskatchewan,Food and non-alcoholic beverages,Dollars,6458
2011,Saskatchewan,Food and non-alcoholic beverages,Dollars,6329
2012,Saskatchewan,Food and non-alcoholic beverages,Dollars,6300
2013,Saskatchewan,Food and non-alcoholic beverages,Dollars,6538
2014,Saskatchewan,Food and non-alcoholic beverages,Dollars,6807
2015,Saskatchewan,Food and non-alcoholic beverages,Dollars,6910
2016,Saskatchewan,Food and non-alcoholic beverages,Dollars,6886
2017,Saskatchewan,Food and non-alcoholic beverages,Dollars,6972
2018,Saskatchewan,Food and non-alcoholic beverages,Dollars,6879
2019,Saskatchewan,Food and non-alcoholic beverages,Dollars,7042
2020,Saskatchewan,Food and non-alcoholic beverages,Dollars,7740
2010,Saskatchewan,Alcoholic beverages and tobacco,Dollars,3070
2011,Saskatchewan,Alcoholic beverages and tobacco,Dollars,3009
2012,Saskatchewan,Alcoholic beverages and tobacco,Dollars,3041
2013,Saskatchewan,Alcoholic beverages and tobacco,Dollars,3157
2014,Saskatchewan,Alcoholic beverages and tobacco,Dollars,3254
2015,Saskatchewan,Alcoholic beverages and tobacco,Dollars,3341
2016,Saskatchewan,Alcoholic beverages and tobacco,Dollars,3350
2017,Saskatchewan,Alcoholic beverages and tobacco,Dollars,3434
2018,Saskatchewan,Alcoholic beverages and tobacco,Dollars,3484
2019,Saskatchewan,Alcoholic beverages and tobacco,Dollars,3445
2020,Saskatchewan,Alcoholic beverages and tobacco,Dollars,3581
2010,Saskatchewan,Clothing and footwear,Dollars,2812
2011,Saskatchewan,Clothing and footwear,Dollars,2755
2012,Saskatchewan,Clothing and footwear,Dollars,2944
2013,Saskatchewan,Clothing and footwear,Dollars,3097
2014,Saskatchewan,Clothing and footwear,Dollars,3245
2015,Saskatchewan,Clothing and footwear,Dollars,3346
2016,Saskatchewan,Clothing and footwear,Dollars,3256
2017,Saskatchewan,Clothing and footwear,Dollars,3084
2018,Saskatchewan,Clothing and footwear,Dollars,4001
2019,Saskatchewan,Clothing and footwear,Dollars,4022
2020,Saskatchewan,Clothing and footwear,Dollars,3204
2010,Saskatchewan,"Housing, water, electricity, gas and other fuels",Dollars,17032
2011,Saskatchewan,"Housing, water, electricity, gas and other fuels",Dollars,16691
2012,Saskatchewan,"Housing, water, electricity, gas and other fuels",Dollars,17345
2013,Saskatchewan,"Housing, water, electricity, gas and other fuels",Dollars,18410
2014,Saskatchewan,"Housing, water, electricity, gas and other fuels",Dollars,19527
2015,Saskatchewan,"Housing, water, electricity, gas and other fuels",Dollars,20445
2016,Saskatchewan,"Housing, water, electricity, gas and other fuels",Dollars,20767
2017,Saskatchewan,"Housing, water, electricity, gas and other fuels",Dollars,21819
2018,Saskatchewan,"Housing, water, electricity, gas and other fuels",Dollars,20046
2019,Saskatchewan,"Housing, water, electricity, gas and other fuels",Dollars,20760
2020,Saskatchewan,"Housing, water, electricity, gas and other fuels",Dollars,21582
2010,Saskatchewan,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3897
2011,Saskatchewan,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3819
2012,Saskatchewan,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4038
2013,Saskatchewan,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4109
2014,Saskatchewan,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4208
2015,Saskatchewan,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4290
2016,Saskatchewan,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4325
2017,Saskatchewan,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4324
2018,Saskatchewan,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4944
2019,Saskatchewan,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,5051
2020,Saskatchewan,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,5434
2010,Saskatchewan,Health,Dollars,2893
2011,Saskatchewan,Health,Dollars,2835
2012,Saskatchewan,Health,Dollars,2930
2013,Saskatchewan,Health,Dollars,3007
2014,Saskatchewan,Health,Dollars,3116
2015,Saskatchewan,Health,Dollars,3217
2016,Saskatchewan,Health,Dollars,3301
2017,Saskatchewan,Health,Dollars,3369
2018,Saskatchewan,Health,Dollars,3214
2019,Saskatchewan,Health,Dollars,3254
2020,Saskatchewan,Health,Dollars,3007
2010,Saskatchewan,Transport,Dollars,11299
2011,Saskatchewan,Transport,Dollars,11073
2012,Saskatchewan,Transport,Dollars,11986
2013,Saskatchewan,Transport,Dollars,12547
2014,Saskatchewan,Transport,Dollars,12819
2015,Saskatchewan,Transport,Dollars,12034
2016,Saskatchewan,Transport,Dollars,11632
2017,Saskatchewan,Transport,Dollars,12294
2018,Saskatchewan,Transport,Dollars,13106
2019,Saskatchewan,Transport,Dollars,12977
2020,Saskatchewan,Transport,Dollars,10509
2010,Saskatchewan,Communications,Dollars,1814
2011,Saskatchewan,Communications,Dollars,1778
2012,Saskatchewan,Communications,Dollars,1872
2013,Saskatchewan,Communications,Dollars,1921
2014,Saskatchewan,Communications,Dollars,2039
2015,Saskatchewan,Communications,Dollars,2183
2016,Saskatchewan,Communications,Dollars,2254
2017,Saskatchewan,Communications,Dollars,2403
2018,Saskatchewan,Communications,Dollars,2254
2019,Saskatchewan,Communications,Dollars,2296
2020,Saskatchewan,Communications,Dollars,2279
2010,Saskatchewan,Recreation and culture,Dollars,7347
2011,Saskatchewan,Recreation and culture,Dollars,7200
2012,Saskatchewan,Recreation and culture,Dollars,7410
2013,Saskatchewan,Recreation and culture,Dollars,7463
2014,Saskatchewan,Recreation and culture,Dollars,7597
2015,Saskatchewan,Recreation and culture,Dollars,7633
2016,Saskatchewan,Recreation and culture,Dollars,7488
2017,Saskatchewan,Recreation and culture,Dollars,7417
2018,Saskatchewan,Recreation and culture,Dollars,8232
2019,Saskatchewan,Recreation and culture,Dollars,8188
2020,Saskatchewan,Recreation and culture,Dollars,7632
2010,Saskatchewan,Education,Dollars,711
2011,Saskatchewan,Education,Dollars,696
2012,Saskatchewan,Education,Dollars,706
2013,Saskatchewan,Education,Dollars,745
2014,Saskatchewan,Education,Dollars,747
2015,Saskatchewan,Education,Dollars,764
2016,Saskatchewan,Education,Dollars,808
2017,Saskatchewan,Education,Dollars,864
2018,Saskatchewan,Education,Dollars,753
2019,Saskatchewan,Education,Dollars,778
2020,Saskatchewan,Education,Dollars,748
2010,Saskatchewan,"Food, beverage and accommodation services",Dollars,5118
2011,Saskatchewan,"Food, beverage and accommodation services",Dollars,5015
2012,Saskatchewan,"Food, beverage and accommodation services",Dollars,5244
2013,Saskatchewan,"Food, beverage and accommodation services",Dollars,5418
2014,Saskatchewan,"Food, beverage and accommodation services",Dollars,5630
2015,Saskatchewan,"Food, beverage and accommodation services",Dollars,5652
2016,Saskatchewan,"Food, beverage and accommodation services",Dollars,5602
2017,Saskatchewan,"Food, beverage and accommodation services",Dollars,5000
2018,Saskatchewan,"Food, beverage and accommodation services",Dollars,6006
2019,Saskatchewan,"Food, beverage and accommodation services",Dollars,6120
2020,Saskatchewan,"Food, beverage and accommodation services",Dollars,4173
2010,Saskatchewan,Insurance and financial services,Dollars,5610
2011,Saskatchewan,Insurance and financial services,Dollars,5497
2012,Saskatchewan,Insurance and financial services,Dollars,5467
2013,Saskatchewan,Insurance and financial services,Dollars,5803
2014,Saskatchewan,Insurance and financial services,Dollars,6072
2015,Saskatchewan,Insurance and financial services,Dollars,6314
2016,Saskatchewan,Insurance and financial services,Dollars,6450
2017,Saskatchewan,Insurance and financial services,Dollars,6806
2018,Saskatchewan,Insurance and financial services,Dollars,6237
2019,Saskatchewan,Insurance and financial services,Dollars,6345
2020,Saskatchewan,Insurance and financial services,Dollars,6488
2010,Saskatchewan,Miscellaneous goods and services,Dollars,3325
2011,Saskatchewan,Miscellaneous goods and services,Dollars,3258
2012,Saskatchewan,Miscellaneous goods and services,Dollars,3406
2013,Saskatchewan,Miscellaneous goods and services,Dollars,3496
2014,Saskatchewan,Miscellaneous goods and services,Dollars,3626
2015,Saskatchewan,Miscellaneous goods and services,Dollars,3721
